lat,lon,froce_cyclone,ventricité
69.8125,11.0625,1.1344791532688332e-06,-4.634189361437233e-05
-44.3125,-0.5625,3.333515107955596e-07,8.518556800418832e-06
19.8125,164.6875,4.3908179209211823e-08,-7.682042158593353e-06
8.1875,154.5625,1.8350663238379975e-08,-3.6857949730501285e-06
-31.4375,-17.4375,2.304565938838556e-07,1.0551004101231691e-05
42.4375,170.1875,1.334557111930572e-07,-3.970092643993005e-06
-41.0625,155.8125,9.362347618093922e-08,1.0605849284872654e-05
31.0625,-63.1875,2.73909686620066e-07,-1.1529072850202908e-05
-24.1875,84.1875,1.2443408187651974e-07,6.0549247352474606e-06
-53.9375,127.1875,3.7776079550833437e-07,1.6831262021109503e-05
-34.8125,27.0625,2.6493060432045766e-07,1.5985678091288893e-05
-47.3125,81.8125,5.509137501639073e-07,1.7533648624894554e-05
-45.5625,-12.1875,8.389044335155737e-08,8.724685441679418e-06
51.1875,-165.9375,5.504149430661567e-07,-1.5853022289325773e-05
-43.0625,90.8125,1.5038479770373682e-07,5.4073936904101425e-06
-23.6875,88.3125,9.660271688015347e-08,8.489927212257934e-06
14.5625,111.9375,7.650541115268377e-08,-9.061185538429135e-06
-35.0625,138.3125,4.4532814253680167e-08,1.1440868019231409e-05
46.4375,165.6875,1.25741103652427e-07,-1.1674952493077155e-05
-43.4375,164.1875,1.6447190136512091e-07,9.088570469760059e-06
20.3125,124.9375,2.786183198735453e-07,-1.3290473836860932e-05
-57.9375,-105.6875,2.1254002925619448e-07,1.1024944431223984e-05
-55.9375,-70.6875,1.0587728268510862e-06,2.464628760633665e-05
-35.4375,-127.3125,2.1200661674737498e-07,7.313795744539292e-06
-9.4375,113.9375,1.0972691944997376e-07,1.2320717165387142e-05
-34.8125,-173.4375,7.754909895325216e-08,5.6214228353493e-06
-57.0625,-137.1875,4.532708300855473e-07,2.3401173878728776e-05
-47.0625,146.9375,2.319427692829851e-07,1.8205898439000835e-05
26.6875,139.3125,1.1671562046940314e-07,-9.653191594927688e-06
-38.3125,-98.1875,2.100620824769078e-07,8.431394901776133e-06
-44.9375,109.3125,2.0166747192954988e-07,6.1803172126923725e-06
-59.3125,-93.9375,1.0954881714422049e-06,2.318107288522816e-05
-19.9375,111.6875,1.586958059054112e-07,1.0834515901388693e-05
-44.0625,-171.0625,1.0664528263984837e-07,7.22897776329178e-06
-23.9375,-167.8125,1.644382600486688e-07,1.039239999601399e-05
-32.3125,132.4375,8.792446460330025e-08,7.521013178792169e-06
-46.3125,-4.6875,1.6263014095940386e-07,1.8828350516913397e-05
-56.0625,94.8125,6.288860282092932e-07,1.8875658224456533e-05
-22.0625,111.1875,1.1476097281460692e-07,8.564896502161e-06
12.9375,48.6875,8.191582487840469e-08,-1.0796552921672069e-05
-28.5625,102.0625,1.6118701721376918e-07,1.106922217894443e-05
13.4375,-97.4375,2.3735736772728735e-07,-1.3927723291299493e-05
20.3125,172.1875,5.757406361766637e-08,-5.586285526292175e-06
36.6875,-166.4375,3.0679839292672616e-07,-1.1124355846873251e-05
-59.5625,-79.0625,8.304163505412085e-08,1.1522736901458688e-05
17.8125,131.4375,3.7784775759426885e-08,-8.169129800432007e-06
-44.4375,-164.4375,9.007304795006495e-08,6.998554167442299e-06
-61.3125,27.6875,4.0589745564017414e-07,8.764092370176557e-06
-25.3125,167.9375,3.1155478377955534e-08,1.5002188503980413e-05
-44.3125,-148.6875,9.430114819586677e-08,6.817572373567543e-06
-52.1875,175.5625,3.4481642437545226e-07,1.0066812306386307e-05
-37.9375,89.6875,4.0060802981195624e-07,1.3642763204254504e-05
-43.6875,-120.3125,9.045183167889724e-08,4.189038534093266e-06
-21.8125,103.6875,6.932934755513486e-08,7.638184378826304e-06
-59.8125,-101.0625,2.0616514155959793e-07,1.2317651455284514e-05
